profile_id	shape_id	behavior_class	amplitude	approach_power	A_source	source_x	status	endpoint_reached	numerically_certified	affine_final	endpoint_x_observed	endpoint_det_D	minimum_D_singular_value_sampled	caustic_sign_change_sampled	null_residual	screen_gram_residual	screen_ray_residual	p_t_residual	p_psi_residual	nfev
G75_AM_S41_E100	S41	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	8	0.00390625	1.9960899278339139	AFFINE_CAP_NO_ENDPOINT	False	False	20	1.9859502551615629	41.389005233971545	0	False	1.1908459904113333e-15	6.106226635438361e-14	2.8380076066980564e-15	1.3877787807814457e-14	4.496403249731884e-15	120002
G75_AM_S41_E100	S41	PERSISTENT_SIGN_NO_INTERIOR_ROOT	1	12	0.000244140625	1.9997558444720196	AFFINE_CAP_NO_ENDPOINT	False	False	20	1.9859502551615629	41.389005233971545	0	False	1.1908459904113333e-15	6.106226635438361e-14	2.8380076066980564e-15	1.3877787807814457e-14	4.496403249731884e-15	120002
G75_AM_S42_E05	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	1.8329586912836926	1.9364916731037085	3.0666802262164174	0	False	5.1728028917237136e-16	4.6629367034256575e-15	1.099120794378905e-14	2.55351295663786e-15	8.1904968918244947e-15	11012
G75_AM_S42_E05	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.0580930437491065	1.9960899278339139	3.5382231861737674	0	False	4.9989568610072985e-16	7.5495165674510645e-15	2.19824158875781e-14	2.886579864025407e-15	1.1743210570624996e-14	12362
G75_AM_S42_E05	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.050000000000000003	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.1147150077134063	1.9997558444720196	3.6400427905696047	0	False	5.0346239688590892e-16	4.6229686745391518e-13	2.0736745653948674e-12	2.9976021664879227e-15	1.0410942941074808e-14	12692
G75_AM_S42_E20	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	2.7347853787422989	1.9364916731037085	4.2793590779724395	0	False	1.768442246926377e-15	6.9944050551384862e-15	3.9968028886505635e-15	2.7755575615628914e-15	5.6517290847324375e-15	16412
G75_AM_S42_E20	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	3.5927554159878898	1.9960899278339139	5.7514315733690005	0	False	2.6171755920965194e-15	1.0769163338864018e-14	1.2212453270876722e-14	5.440092820663267e-15	5.8737736896574688e-15	21572
G75_AM_S42_E20	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.20000000000000001	12	0.000244140625	1.9997558444720196	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	3.816619488564216	1.9997558444720196	6.1269173057332624	0	False	2.4990107494591138e-15	1.6875389974302379e-13	1.8995915951336428e-13	4.8849813083506888e-15	5.8737736896574688e-15	22907
G75_AM_S42_E50	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	4	0.0625	1.9364916731037085	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	4.8098908368650903	1.9364916731037085	7.8015949888707388	0	False	1.1067535776732029e-15	1.5654144647214707e-14	1.4432899320127035e-15	5.773159728050814e-15	1.915134717478395e-15	28862
G75_AM_S42_E50	S42	PERSISTENT_SIGN_NO_INTERIOR_ROOT	0.5	8	0.00390625	1.9960899278339139	ENDPOINT_REGULAR_NO_CAUSTIC	True	True	6.8503162901017829	1.9960899278339139	11.909444358004965	0	False	5.1262444006362757e-15	3.8857805861880479e-14	1.840194663316197e-14	6.2172489379008766e-15	1.915134717478395e-15	41117
