transform_id	configuration_id	carrier_id	mask_id	mask_integer	bank	point_id	primary_status	split_status	q_eigenvalues	h_eigenvalues	split_forward_residual	shear_rank	twist_rank	shear_max_abs	twist_max_abs	metric_twojet_residual	cartan_covariance_residual	determinant_weight_residual	ricci_contraction_residual	scalar_contraction_residual	weyl_trace_max_abs	inverse_roundtrip_residual	metric_determinant	metric_inertia	retained	physical_merit
C04_CROSS_GENERAL_INVERSE	R13_3_M4_B0_P0	R13_3	M4	4	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.05079375501520483	0.1585033068272722	1.790459228270497e-16	4.163336342344337e-17	7.709207655946345e-16	4.163336342344337e-17	0.0	1.3877787807814457e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_M5_B0_P0	R13_3	M5	5	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.052367666008242775	0.17731435127207548	1.790459228270497e-16	9.71445146547012e-17	7.709207655946345e-16	5.551115123125783e-17	8.326672684688674e-17	8.326672684688674e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_M6_B0_P0	R13_3	M6	6	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.10235745557130431	0.17502602740609255	1.790459228270497e-16	6.938893903907228e-17	7.709207655946345e-16	6.938893903907228e-17	5.551115123125783e-17	1.0755285551056204e-16	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_M7_B0_P0	R13_3	M7	7	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.10069954216553063	0.19383707185089583	1.790459228270497e-16	1.1102230246251565e-16	7.709207655946345e-16	1.1102230246251565e-16	0.0	6.957531345630618e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_M8_B0_P0	R13_3	M8	8	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	0	0	0.0	0.0	1.790459228270497e-16	0.0	7.709207655946345e-16	0.0	0.0	0.0	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_M9_B0_P0	R13_3	M9	9	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.008336064217319816	0.018811044444803266	1.790459228270497e-16	5.551115123125783e-17	7.709207655946345e-16	2.7755575615628914e-17	4.163336342344337e-17	3.469446951953614e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_MA_B0_P0	R13_3	MA	10	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.058567798114786386	0.021741913654065827	1.790459228270497e-16	5.551115123125783e-17	7.709207655946345e-16	5.551115123125783e-17	1.1102230246251565e-16	2.949029909160572e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_MB_B0_P0	R13_3	MB	11	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.05690988470901272	0.03533376502362361	1.790459228270497e-16	5.551115123125783e-17	7.709207655946345e-16	3.5561831257524545e-17	0.0	1.3530843112619095e-16	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_MC_B0_P0	R13_3	MC	12	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.05079375501520483	0.1585033068272722	1.790459228270497e-16	4.163336342344337e-17	7.709207655946345e-16	4.163336342344337e-17	0.0	1.3877787807814457e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_MD_B0_P0	R13_3	MD	13	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.052367666008242775	0.17731435127207548	1.790459228270497e-16	9.71445146547012e-17	7.709207655946345e-16	5.551115123125783e-17	8.326672684688674e-17	8.326672684688674e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_ME_B0_P0	R13_3	ME	14	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.10235745557130431	0.17502602740609255	1.790459228270497e-16	6.938893903907228e-17	7.709207655946345e-16	6.938893903907228e-17	5.551115123125783e-17	1.0755285551056204e-16	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R13_3_MF_B0_P0	R13_3	MF	15	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.10069954216553063	0.19383707185089583	1.790459228270497e-16	1.1102230246251565e-16	7.709207655946345e-16	1.1102230246251565e-16	0.0	6.957531345630618e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
