transform_id	payload	defined_rows	active_rows	inactive_rows	uncertain_rows	min_active_max_abs	max_inactive_max_abs	max_observed_abs	activity_threshold
F01_CONSTANT_BASE_BOOST	metric_twojet	5760	1536	4224	0	0.00519227838155082	2.220446049250313e-16	0.4295029928684306	1e-09
F01_CONSTANT_BASE_BOOST	riemann	5760	2640	3120	0	8.487611927782048e-06	8.326672684688674e-17	0.21494353467341532	1e-09
F01_CONSTANT_BASE_BOOST	weyl	5760	2640	3120	0	3.883374642736637e-06	1.700029006457271e-16	0.11463046821622723	1e-09
F01_CONSTANT_BASE_BOOST	ricci	5760	2640	3120	0	8.19698409665337e-06	8.326672684688674e-17	0.2735316559566878	1e-09
F01_CONSTANT_BASE_BOOST	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
F01_CONSTANT_BASE_BOOST	cartan_curvature	5760	2640	3120	0	8.899400972389309e-06	9.71445146547012e-17	0.18358399975259657	1e-09
F01_CONSTANT_BASE_BOOST	phi_twojet	5760	384	5376	0	0.0032258064516129006	0.0	0.17497013142174433	1e-09
F01_CONSTANT_BASE_BOOST	split_slot_twojet	5760	1152	4608	0	0.03160919540229885	2.220446049250313e-16	0.4295029928684306	1e-09
F01_CONSTANT_BASE_BOOST	split_shear	5760	1104	4656	0	0.00013640172479364998	5.551115123125783e-17	0.20997700065610586	1e-09
F01_CONSTANT_BASE_BOOST	split_twist	5760	384	5376	0	0.007096373359908932	8.326672684688674e-17	0.24198712020842542	1e-09
F02_LOCAL_BASE_BOOST	metric_twojet	5760	1536	4224	0	0.00519227838155082	2.220446049250313e-16	0.4295029928684306	1e-09
F02_LOCAL_BASE_BOOST	riemann	5760	2640	3120	0	8.487611927782048e-06	8.326672684688674e-17	0.21494353467341532	1e-09
F02_LOCAL_BASE_BOOST	weyl	5760	2640	3120	0	3.883374642736637e-06	1.700029006457271e-16	0.11463046821622723	1e-09
F02_LOCAL_BASE_BOOST	ricci	5760	2640	3120	0	8.19698409665337e-06	8.326672684688674e-17	0.2735316559566878	1e-09
F02_LOCAL_BASE_BOOST	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
F02_LOCAL_BASE_BOOST	cartan_curvature	5760	2640	3120	0	8.899400972389309e-06	9.71445146547012e-17	0.18358399975259657	1e-09
F02_LOCAL_BASE_BOOST	phi_twojet	5760	384	5376	0	0.0032258064516129006	0.0	0.17497013142174433	1e-09
F02_LOCAL_BASE_BOOST	split_slot_twojet	5760	1152	4608	0	0.03160919540229885	2.220446049250313e-16	0.4295029928684306	1e-09
F02_LOCAL_BASE_BOOST	split_shear	5760	1104	4656	0	0.00013640172479364998	5.551115123125783e-17	0.20997700065610586	1e-09
F02_LOCAL_BASE_BOOST	split_twist	5760	384	5376	0	0.007096373359908932	8.326672684688674e-17	0.24198712020842542	1e-09
F03_CONSTANT_CROSS_BOOST	metric_twojet	5760	1536	4224	0	0.00519227838155082	2.220446049250313e-16	0.4295029928684306	1e-09
F03_CONSTANT_CROSS_BOOST	riemann	5760	2640	3120	0	8.487611927782048e-06	8.326672684688674e-17	0.21494353467341532	1e-09
F03_CONSTANT_CROSS_BOOST	weyl	5760	2640	3120	0	3.883374642736637e-06	1.700029006457271e-16	0.11463046821622723	1e-09
F03_CONSTANT_CROSS_BOOST	ricci	5760	2640	3120	0	8.19698409665337e-06	8.326672684688674e-17	0.2735316559566878	1e-09
F03_CONSTANT_CROSS_BOOST	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
F03_CONSTANT_CROSS_BOOST	cartan_curvature	5760	2640	3120	0	8.22707363715841e-06	9.71445146547012e-17	0.18752676721944297	1e-09
F03_CONSTANT_CROSS_BOOST	phi_twojet	5760	384	5376	0	0.0032258064516129006	0.0	0.17497013142174433	1e-09
F03_CONSTANT_CROSS_BOOST	split_slot_twojet	5760	1152	4608	0	0.03160919540229885	2.220446049250313e-16	0.4295029928684306	1e-09
F03_CONSTANT_CROSS_BOOST	split_shear	5760	1104	4656	0	0.00013640172479364998	5.551115123125783e-17	0.20997700065610586	1e-09
F03_CONSTANT_CROSS_BOOST	split_twist	5760	384	5376	0	0.007096373359908932	8.326672684688674e-17	0.24198712020842542	1e-09
F04_LOCAL_CROSS_BOOST	metric_twojet	5760	1536	4224	0	0.00519227838155082	2.220446049250313e-16	0.4295029928684306	1e-09
F04_LOCAL_CROSS_BOOST	riemann	5760	2640	3120	0	8.487611927782048e-06	8.326672684688674e-17	0.21494353467341532	1e-09
F04_LOCAL_CROSS_BOOST	weyl	5760	2640	3120	0	3.883374642736637e-06	1.700029006457271e-16	0.11463046821622723	1e-09
F04_LOCAL_CROSS_BOOST	ricci	5760	2640	3120	0	8.19698409665337e-06	8.326672684688674e-17	0.2735316559566878	1e-09
F04_LOCAL_CROSS_BOOST	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
F04_LOCAL_CROSS_BOOST	cartan_curvature	5760	2640	3120	0	8.235963116418749e-06	1.1102230246251565e-16	0.19597160761757923	1e-09
F04_LOCAL_CROSS_BOOST	phi_twojet	5760	384	5376	0	0.0032258064516129006	0.0	0.17497013142174433	1e-09
F04_LOCAL_CROSS_BOOST	split_slot_twojet	5760	1152	4608	0	0.03160919540229885	2.220446049250313e-16	0.4295029928684306	1e-09
F04_LOCAL_CROSS_BOOST	split_shear	5760	1104	4656	0	0.00013640172479364998	5.551115123125783e-17	0.20997700065610586	1e-09
F04_LOCAL_CROSS_BOOST	split_twist	5760	384	5376	0	0.007096373359908932	8.326672684688674e-17	0.24198712020842542	1e-09
F05_LOCAL_SCREEN_ROTATION	metric_twojet	5760	1536	4224	0	0.00519227838155082	2.220446049250313e-16	0.4295029928684306	1e-09
F05_LOCAL_SCREEN_ROTATION	riemann	5760	2640	3120	0	8.487611927782048e-06	8.326672684688674e-17	0.21494353467341532	1e-09
F05_LOCAL_SCREEN_ROTATION	weyl	5760	2640	3120	0	3.883374642736637e-06	1.700029006457271e-16	0.11463046821622723	1e-09
F05_LOCAL_SCREEN_ROTATION	ricci	5760	2640	3120	0	8.19698409665337e-06	8.326672684688674e-17	0.2735316559566878	1e-09
F05_LOCAL_SCREEN_ROTATION	scalar	5760	2640	3120	0	5.352174795442144e-07	2.220446049250313e-16	0.5873251103423172	1e-09
F05_LOCAL_SCREEN_ROTATION	cartan_curvature	5760	2640	3120	0	9.185964325912621e-06	1.3877787807814457e-16	0.1835839997525966	1e-09
F05_LOCAL_SCREEN_ROTATION	phi_twojet	5760	384	5376	0	0.0032258064516129006	0.0	0.17497013142174433	1e-09
F05_LOCAL_SCREEN_ROTATION	split_slot_twojet	5760	1152	4608	0	0.03160919540229885	2.220446049250313e-16	0.4295029928684306	1e-09
F05_LOCAL_SCREEN_ROTATION	split_shear	5760	1104	4656	0	0.00013640172479364998	5.551115123125783e-17	0.20997700065610586	1e-09
F05_LOCAL_SCREEN_ROTATION	split_twist	5760	384	5376	0	0.007096373359908932	8.326672684688674e-17	0.24198712020842542	1e-09
