transform_id	configuration_id	carrier_id	mask_id	mask_integer	bank	point_id	primary_status	split_status	q_eigenvalues	h_eigenvalues	split_forward_residual	shear_rank	twist_rank	shear_max_abs	twist_max_abs	metric_twojet_residual	cartan_covariance_residual	determinant_weight_residual	ricci_contraction_residual	scalar_contraction_residual	weyl_trace_max_abs	inverse_roundtrip_residual	metric_determinant	metric_inertia	retained	physical_merit
C03_CROSS_GENERAL	R14_3_MA_B3_P7	R14_3	MA	10	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.1686778063288541;1.2922316712408102	-1.1476129821111933;0.9023014671100319	2.2052165715328284e-17	2	1	0.09363303125505879	0.015476563427253003	1.7641732572262627e-16	6.938893903907228e-17	4.2597016937625366e-16	2.0816681711721685e-17	5.551115123125783e-17	4.8052363148689233e-17	1.7803332761658223e-16	-1.5638039061526565	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R14_3_MB_B3_P7	R14_3	MB	11	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.1693658558629221;1.2923413026243047	-1.0860273908516955;0.89966776775840773	2.205419000218487e-17	2	1	0.1050531786765732	0.03385485037560671	8.821676000873948e-17	5.551115123125783e-17	0.0	2.7755575615628914e-17	0.0	2.80486321570106e-17	1.1102230246251565e-16	-1.4765582120941299	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R14_3_MC_B3_P7	R14_3	MC	12	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0636435226863377;1.3747194167967463	-1.1373113210206522;0.89284031450493428	2.7755575615628914e-17	2	1	0.07687614008452129	0.052575630663436415	1.7078322255425539e-16	2.7755575615628914e-17	2.990934488805336e-16	3.8163916471489756e-17	6.938893903907228e-18	5.551115123125783e-17	1.7466647263354526e-16	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R14_3_MD_B3_P7	R14_3	MD	13	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0638276829430973;1.3753329374575491	-1.0763040667321886;0.89026128540361171	2.7755575615628914e-17	2	1	0.06513078489940029	0.05408923616586769	1.706633514609757e-16	5.551115123125783e-17	0.0	4.163336342344337e-17	0.0	7.632783294297951e-17	1.7466647263354526e-16	-1.401947014784807	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R14_3_ME_B3_P7	R14_3	ME	14	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.1750249250794724;1.3053771193489814	-1.1384598542875597;0.89553280142599478	2.7755575615628914e-17	2	1	0.061218176023596284	0.0666474517041821	1.7499028439269556e-16	6.938893903907228e-17	4.259701693762536e-16	2.7755575615628914e-17	1.1102230246251565e-16	6.245004513516506e-17	1.7803332761658223e-16	-1.5638039061526567	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R14_3_MF_B3_P7	R14_3	MF	15	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.1757053708044118;1.3054943545416049	-1.0773405634596931;0.89294366626711186	1.7500621774375075e-16	2	1	0.07911259846902999	0.051687354918483155	1.7500621774375075e-16	8.326672684688674e-17	1.5037985167555051e-16	2.7755575615628914e-17	5.551115123125783e-17	5.952269926945419e-17	1.7803332761658223e-16	-1.47655821209413	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M0_B3_P7	R15_3	M0	0	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	0	0	0.0	0.0	1.721357532173647e-16	0.0	4.486401733208005e-16	0.0	0.0	0.0	2.1833309079193157e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M1_B3_P7	R15_3	M1	1	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057357956616122;1.3604964917682172	-1.2134754703560833;0.89750334721754743	5.551115123125783e-17	2	1	0.024729655467408386	0.037129524254605153	1.722646742498251e-16	2.0816681711721685e-17	2.8345471045341954e-16	5.551115123125783e-17	2.7755575615628914e-17	1.734723475976807e-17	8.326672684688674e-17	-1.5667025223877535	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M2_B3_P7	R15_3	M2	2	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	0.98306131850325618;1.2149534104408364	-1.1476421742274276;0.89677436780945952	1.3877787807814457e-17	2	1	0.08303686722021009	0.03289466390878593	1.8468964393897754e-16	4.163336342344337e-17	5.419154861234815e-16	5.724587470723463e-17	2.7755575615628914e-17	4.876716743038842e-17	1.87053898630259e-16	-1.2292208505429356	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R15_3_M3_B3_P7	R15_3	M3	3	B3	P7	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	0.98301472044603633;1.2139191060204007	-1.2148233150977594;0.89472640403286463	2.3104757906486175e-17	2	1	0.10020592579389855	0.07523231208512834	1.1102230246251565e-16	5.551115123125783e-17	0.0	6.245004513516506e-17	5.551115123125783e-17	5.204170427930421e-17	1.818623473462449e-16	-1.297039315510568	1,3,0	YES	NOT_EVALUATED
