family_id	motif	primitive_block_ranks	primitive_block_signatures	numeric_status	configurations
M22_H_D_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M23_R_H_D_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5760
M23_R_H_D_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M24_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M24_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	768
M25_R_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M25_R_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	768
M26_H_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M26_H_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M26_H_RG_WG	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	384
M27_R_H_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M27_R_H_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M27_R_H_RG_WG	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	384
M28_D_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M28_D_RG_WG	LINE_PLUS_THREE	1;3	N0_P1_Z0;N1_P2_Z0	NUMERIC_CLASSIFIED	288
M28_D_RG_WG	LINE_PLUS_THREE	1;3	N0_P3_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	96
M28_D_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M29_R_D_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M29_R_D_RG_WG	LINE_PLUS_THREE	1;3	N0_P1_Z0;N1_P2_Z0	NUMERIC_CLASSIFIED	288
M29_R_D_RG_WG	LINE_PLUS_THREE	1;3	N0_P3_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	96
M29_R_D_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M30_H_D_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5760
M30_H_D_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M31_R_H_D_RG_WG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5760
M31_R_H_D_RG_WG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
