K	knot_index	phi	z	pantheon_relative_shape_mag	pantheon_se	des_relative_shape_mag	des_se	difference_mag	difference_se
24	8	0.31146464304359917	0.36542350835091253	2.722601708125632	0.040198910874398724	2.835015240261025	0.12054619428530332	-0.11241353213539318	0.12707217394912998
24	9	0.3415508131679188	0.4071280921255303	2.9405120423027244	0.04645671476959361	2.999543840264217	0.12127028086327725	-0.059031797961492494	0.12986418816533496
24	10	0.37163698329223843	0.4501064728555812	3.0025452973297484	0.04707777481457891	3.1525629940009345	0.12103415805438467	-0.15001769667118614	0.1298675644548167
24	11	0.40172315341655807	0.494397556544598	3.142851887873881	0.0522270830323296	3.2398524264622095	0.12102762052075713	-0.09700053858832858	0.13181560276000048
24	12	0.43180932354087764	0.5400414375151028	3.1599706138244614	0.05499800025575307	3.3154227307008015	0.12093901374723748	-0.15545211687634009	0.13285716043287357
24	13	0.4618954936651973	0.5870794347038295	3.355612280462271	0.05153847423836517	3.441698534356074	0.12106566869299272	-0.0860862538938032	0.1315792934427758
24	14	0.4919816637895169	0.6355541290655209	3.3549789166415733	0.06414556806477442	3.5253782979773507	0.12125483081590227	-0.17039938133577737	0.1371764844955056
24	15	0.5220678339138366	0.6855094021191656	3.4661905586639787	0.06617853071394306	3.5729801885931853	0.12148754697648256	-0.1067896299292066	0.13834313137203222
24	16	0.5521540040381562	0.7369904756715621	3.453144163943837	0.05946237127707247	3.6623578186849928	0.12255661053362453	-0.2092136547411556	0.13622002930326707
24	17	0.5822401741624758	0.7900439527541763	3.609303664108437	0.0839074875210715	3.67044628858263	0.12290859704342603	-0.06114262447419305	0.14881864698108918
24	18	0.6123263442867954	0.8447178598103443	3.5212298835021527	0.13429839386718995	3.748774476889399	0.12776626266019842	-0.22754459338724642	0.18536525151565408
24	19	0.642412514411115	0.9010616901710139	2.9969715967835224	0.4724536748056599	3.736423603424037	0.13099268758492696	-0.7394520066405144	0.49027702275152013
24	20	0.6724986845354347	0.9591264488583808	3.8468199699039216	0.19080916846903512	3.848523011169102	0.13200651161340593	-0.0017030412651801718	0.23202124445874542
24	21	0.7025848546597543	1.018964698757976	3.9563542862037826	0.13226452977900727	3.7548528897275824	0.13797989024617963	0.20150139647620025	0.1911343923787911
24	22	0.732671024784074	1.0806306082010033	4.407110102171407	0.7116681837532151	3.7980009057066444	0.16285708534024285	0.6091091964647624	0.7300644040166039
24	23	0.7627571949083936	1.14418	3.6597536738626055	0.4723393550556398	3.8010013487696868	0.16050266872035718	-0.14124767490708123	0.4988642831479665
