epsilon	twist_a	lambda_R	point_id	sky_axis	phi	tidal_trace	tidal_det	tidal_frobenius	tidal_symmetry_residual	Dsky_cubic_trace	Dsky_cubic_shear	pair_h00_linear	pair_h00_quadratic	phi_pair_linear	pair_screen_leading_norm	pair_screen_rank	mixed_quadratic_residual	null_screen_residual	Dsky_vertex_zero_residual	Dsky_vertex_derivative_residual	Dsky_vertex	selected
-1/5	-1/4	-1	P04	-e3	-1/10	2.3656078133318106	0.74797937204146381	2.0248806341149055	0.000e+00	-0.39426796888863508	0.19018203408294318	-0.18096748360719192	0.040936537653899083	-0.09048374180359596	0.17502991037493071	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P04	+e3	-1/10	2.3656078133318106	0.62673725701835048	2.0838967854622288	0.000e+00	-0.39426796888863508	0.20713492980365572	0.18096748360719192	0.12280961296169726	0.09048374180359596	0.33542293426904263	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P05	-e1	-1/10	0.42200476552479915	0.043449493457753154	0.30197522284143513	0.000e+00	-0.07033412758746653	0.0077190675662321302	0.22103418361512953	0.13046145077593285	0.11051709180756476	0.12796333483291078	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P05	+e1	-1/10	1.7626448575960778	0.77565671142881742	1.2472383377495508	0.000e+00	-0.29377414293267962	0.0077190675662321302	-0.22103418361512953	0.13046145077593285	-0.11051709180756476	0.12796333483291078	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P05	-e2	-1/10	2.3656078133318106	0.62673725701835026	2.0838967854622288	0.000e+00	-0.39426796888863508	0.20713492980365572	-0.18096748360719192	0.12280961296169729	-0.09048374180359596	0.33542293426904263	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P05	+e2	-1/10	2.3656078133318106	0.74797937204146381	2.0248806341149055	0.000e+00	-0.39426796888863508	0.19018203408294318	0.18096748360719192	0.040936537653899083	0.09048374180359596	0.17502991037493071	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P05	-e3	-1/10	2.3656078133318106	0.62673725701835048	2.0838967854622288	0.000e+00	-0.39426796888863508	0.20713492980365572	0.18096748360719192	0.12280961296169726	0.09048374180359596	0.33542293426904263	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P05	+e3	-1/10	2.3656078133318106	0.74797937204146381	2.0248806341149055	0.000e+00	-0.39426796888863508	0.19018203408294318	-0.18096748360719192	0.040936537653899083	-0.09048374180359596	0.17502991037493071	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P06	-e1	-1/10	0.42200476552479915	0.043449493457753154	0.30197522284143513	0.000e+00	-0.07033412758746653	0.0077190675662321302	-0.22103418361512953	0.13046145077593285	-0.11051709180756476	0.12796333483291078	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P06	+e1	-1/10	1.7626448575960778	0.77565671142881742	1.2472383377495508	0.000e+00	-0.29377414293267962	0.0077190675662321302	0.22103418361512953	0.13046145077593285	0.11051709180756476	0.12796333483291078	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P06	-e2	-1/10	2.3656078133318106	0.62673725701835026	2.0838967854622288	0.000e+00	-0.39426796888863508	0.20713492980365572	-0.18096748360719192	0.12280961296169729	-0.09048374180359596	0.33542293426904263	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P06	+e2	-1/10	2.3656078133318106	0.74797937204146381	2.0248806341149055	0.000e+00	-0.39426796888863508	0.19018203408294318	0.18096748360719192	0.040936537653899083	0.09048374180359596	0.17502991037493071	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P06	-e3	-1/10	2.3656078133318106	0.62673725701835048	2.0838967854622288	0.000e+00	-0.39426796888863508	0.20713492980365572	0.18096748360719192	0.12280961296169726	0.09048374180359596	0.33542293426904263	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P06	+e3	-1/10	2.3656078133318106	0.74797937204146381	2.0248806341149055	0.000e+00	-0.39426796888863508	0.19018203408294318	-0.18096748360719192	0.040936537653899083	-0.09048374180359596	0.17502991037493071	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
-1/5	-1/4	-1	P07	-e1	-1/10	0.42200476552479915	0.043449493457753154	0.30197522284143513	0.000e+00	-0.07033412758746653	0.0077190675662321302	0.22103418361512953	0.13046145077593285	0.11051709180756476	0.12796333483291078	1	0.000e+00	0	0	0	ZERO_WITH_MATCHED_DERIVATIVE_IDENTITY	NO
