candidate_id	profile_id	a	loop_id	parameter_name	parameter_value	H_independent	H_reverse_independent	primary_difference	orientation_reversal_error	agreement_threshold	status
C09	C09	1	R04	rho	0.1	0.000000006361291318527100417093734750072476289866515723776039719301987321871003043038164077289278023932027346096666129486177548605021	-0.0000000063612913185271004170937347500724762898665157237760397193019873218710030430381640772892780239320273460966661294861775486057424	1.357964689092073828957332838705138224513948890641361127340927018004264383262874214223754776247736971677566163954827710569267e-88	7.2132645451451060787179146582006511233192294687941500274236555050023204611571244240974676502440396638737200619793580240372025e-130	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R05	rho	0.01	-0.00000000000048634745681505311839161743507494726456228416308937330094845191447662357316795501002189150655583701391093765440014066495120253	0.0000000000004863474568150531183916174350749472645622841630893733009484519144766235731679550100218915065558370139109376544001406649121072	2.8885356647202936473703566195111979691192673840542420865440014066495116352456882411563299218155833567796617983886412619315292e-64	3.909533029839388548523869761036485716252121440606204360566532036402624859318558647826264204966251966259682260154827835293601e-131	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	UNRESOLVED_INDEPENDENT
C09	C09	1	R05	rho	0.05	-0.0000000015014865326065700562952330188008938814328084189176081720794966724491133132996837351294196294783611445120285294059168318752319	0.0000000015014865326065700562952330188008938814328084189176081720794966724491133132996837351294196294783611445120285294059168318754122	1.8354937635380096896685628152169316330825210269373314705940831681247575618532581474841385674757727675342903873397090416217632e-63	1.8033161362862765196794786645501627808298073671985375068559138762505801152892811060243669125610099159684300154948395060093006e-130	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	UNRESOLVED_INDEPENDENT
C09	C09	1	R05	rho	0.1	-0.000000046433947502545470380730593734013596175866765167960476304012923879289471332970735043268351109051705316105755774055414298337481	0.000000046433947502545470380730593734013596175866765167960476304012923879289471332970735043268351109051705316105755774055414298337481	4.7726745081211425779860564985758457154696439864422594458570166535565770309844571652632422825326416488185211041835460319438773e-67	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	UNRESOLVED_INDEPENDENT
C09	C09	1	R06	rho	0.01	0.00000000000048411397726766756682595252010326429361030662682308970941249480325719018664009640071597624651613098111845596055756843634224471	-0.0000000000004841139772676675668259525201032642936103066268230897094124948032571901866400964007159762465161309811184559605575684363697171	2.8884273099348707931305350271708036206693691257936846596055756843634225753142546090707966765375902586567160877484857637586902e-64	2.7472394263736243854492057780256386114204096609665219831008062958504931443860141849589964683546635438581551017304195599360439e-131	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	UNRESOLVED_INDEPENDENT
C09	C09	1	R06	rho	0.05	0.0000000014945191713901978775428074794594078121181516732701267427040043744559102101699596138809698300726754215034482189515516017847268	-0.0000000014945191713901978775428074794594078121181516732701267427040043744559102101699596138809698300726754215034482189515516017845464	1.8446205757696463274594693168930629576473943309197117810484483982153364776972804432071671396032661950580678869347043284613079e-63	1.8033161362862765196794786645501627808298073671985375068559138762505801152892811060243669125610099159684300154948395060093006e-130	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	UNRESOLVED_INDEPENDENT
C09	C09	1	R06	rho	0.1	0.000000046212096745526423291548437173619732599443580256002226422102889821100927900227220986450505390260438112303992437575067304933843	-0.000000046212096745526423291548437173619732599443580256002226422102889821100927900227220986450505390260438112303992437575067304933843	4.8127114980127390508875339164367824692733804190756242493269506577308210352642801038023252663278745441531288128780909410059866e-67	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	UNRESOLVED_INDEPENDENT
C09	C09	1	PN01	delta	0.05	-0.00041658472105754431817337338944985871775704585337402309040557311870796731659760499639425742319707658428095265666254377252281491	0.00041658472105754431817337338944985871775704585337402309040557311870796731659760499639425742319707658428095265666254377252281491	6.9430786842924053028698565666254377252281193400036435611652317972538062375477292760103221074493909628836089448502004577979596e-85	0.0	4.1658472105754431817337338944985871775704585337402309040557311870796731659760499569994955476783605399396699999999999999997495e-69	PASS_INDEPENDENT
C09	C09	1	PN01	delta	0.1	-0.001578563301666588542475039794748876100486288811190127655698787136378359341350636590492136894274139653200644325026502637221785	0.001578563301666588542475039794748876100486288811190127655698787136378359341350636590492136894274139653200644325026502637221785	2.6309388361109809041531043250265026372218752579406200765737500299071431271707202627238197710909572758227815787979284495482823e-84	0.0	1.5785633016665885424750397947488761004862888111901276556987871363783593413506365878611980581631587490475399999999999999999278e-68	PASS_INDEPENDENT
C09	C09	1	PN02	delta	0.05	-0.00041654791620631185104809933122298935219490983770118314369918843573153440523850858692533127121637911448286543244947720501801843	0.00041654791620631185104809933122298935219490983770118314369918843573153440523850858692533127121637911448286543244947720501801843	6.9424652701051975174485243244947720501799905382590934362953052293854242322126655851915058509816297276623642621313766050748283e-85	0.0	4.1654791620631185104809933122298935219490983770118314369918843573153440523850858623108474420585936273801300000000000000002266e-69	PASS_INDEPENDENT
C09	C09	1	PN02	delta	0.1	-0.0015784830698370046501471883459334923792161531229051112863246868101739972571014853500108093567083135623812565449907661601163147	0.0015784830698370046501471883459334923792161531229051112863246868101739972571014853500108093567083135623812565449907661601163147	2.6308051163950077502742865449907661601162217195044141716110080647047629377405531015269278900267705687301362930306290365059198e-84	0.0	1.5784830698370046501471883459334923792161531229051112863246868101739972571014853473800042403133058121069700000000000000000075e-68	PASS_INDEPENDENT
C09	C09	1	PN03	delta	0.05	0.000000029099090094054048095356126334439746507427770076845454937885591492089903910328934403151786347403842863929839361983002951124436	-0.000000029099090094054048095356126334439746507427770076845454937885591492089903910328934403151786347403842863929839361983002951124436	4.8498483490090080164245939361983002951123821739526725993392475945687185819213254885071549924548448643253530864151583004730997e-89	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PN03	delta	0.1	0.00000011962119245183952297540386371293403408712006821242463293178839190436884470417762768723326482564492268196654294462177135745913	-0.00000011962119245183952297540386371293403408712006821242463293178839190436884470417762768723326482564492268196654294462177135745913	1.9936865408639920485419254294462177135745888983667942504450178350722601397144894283181762744136645454994349645914313485152901e-88	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PN04	delta	0.05	0.000000029094467241454708626358632340359353006229199850271895006938060355210338848372638754763209914417628877797414042795934931639581	-0.000000029094467241454708626358632340359353006229199850271895006938060355210338848372638754763209914417628877797414042795934931639581	4.8490778735757847629203314042795934931640600493783498611769321257771387640610531419970730969137120641441925904872038608585655e-89	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PN04	delta	0.1	0.00000011958449742780577298533989059842212928499443268544136923272848658739321570120053345509649217806663840191951599687580416053367	-0.00000011958449742780577298533989059842212928499443268544136923272848658739321570120053345509649217806663840191951599687580416053367	1.9930749571300962142703851599687580416052384784173934815778656554320061555405245434436281531446904409687740459284864083461017e-88	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	PN05	delta	0.05	0.000000050856691455338050204345053038982813073558871710963440255954119859648868404093129210346362821341250221089173916773275030080967	-0.000000050856691455338050204345053038982813073558871710963440255954119859648868404093129210346362821341250221089173916773275030080967	7.3055060922130729968432936773504273916773275030082358080481834529112596145073979783596954810626826451238882558651719405087731e-80	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
