timestamp	elapsed_seconds	processes	aggregate_rss_kib	mem_available_kib	swap_used_kib
2026-08-04T01:21:03-04:00	4620.175	5	15398716	118933012	3328
2026-08-04T01:21:33-04:00	4650.272	5	15399636	118923124	3328
2026-08-04T01:22:03-04:00	4680.369	5	15400564	118930872	3328
2026-08-04T01:22:33-04:00	4710.465	5	15401464	118930768	3328
2026-08-04T01:23:03-04:00	4740.562	5	15402384	118917864	3328
2026-08-04T01:23:33-04:00	4770.659	5	15403300	118920560	3328
2026-08-04T01:24:03-04:00	4800.756	5	15404228	118916824	3328
2026-08-04T01:24:33-04:00	4830.853	5	15405132	118922840	3328
2026-08-04T01:25:03-04:00	4860.949	5	15406012	118916268	3328
2026-08-04T01:25:33-04:00	4891.046	5	15406932	118914988	3328
2026-08-04T01:26:04-04:00	4921.138	5	15407860	118906592	3328
2026-08-04T01:26:34-04:00	4951.236	5	15408776	118897672	3328
2026-08-04T01:27:04-04:00	4981.334	5	15409676	118892356	3328
2026-08-04T01:27:34-04:00	5011.431	5	15410596	118885972	3328
2026-08-04T01:28:04-04:00	5041.529	5	15411524	118874884	3328
2026-08-04T01:28:34-04:00	5071.630	5	15412432	118881956	3328
2026-08-04T01:29:04-04:00	5101.734	5	15413332	118894856	3328
2026-08-04T01:29:34-04:00	5131.832	5	15414196	118881436	3328
2026-08-04T01:30:04-04:00	5161.938	5	15415140	118879112	3328
2026-08-04T01:30:34-04:00	5192.037	5	15416056	118878692	3328
2026-08-04T01:31:05-04:00	5222.134	5	15416984	118866944	3328
2026-08-04T01:31:35-04:00	5252.232	5	15417860	118866772	3328
2026-08-04T01:32:05-04:00	5282.326	5	15418788	118864412	3328
2026-08-04T01:32:35-04:00	5312.422	5	15419732	118859552	3328
2026-08-04T01:33:05-04:00	5342.527	5	15420640	118858984	3328
2026-08-04T01:33:35-04:00	5372.625	5	15421516	118848048	3328
2026-08-04T01:34:05-04:00	5402.717	5	15422404	118861692	3328
2026-08-04T01:34:35-04:00	5432.812	5	15423364	118852756	3328
2026-08-04T01:35:05-04:00	5462.902	5	15424280	118849092	3328
2026-08-04T01:35:35-04:00	5492.997	5	15425184	118841540	3328
2026-08-04T01:36:06-04:00	5523.091	5	15426084	118837844	3328
2026-08-04T01:36:36-04:00	5553.188	5	15459676	118812764	3328
2026-08-04T01:37:06-04:00	5583.289	5	15460576	118813012	3328
2026-08-04T01:37:36-04:00	5613.387	5	15461492	118810104	3328
2026-08-04T01:38:06-04:00	5643.481	5	15462412	118809688	3328
2026-08-04T01:38:36-04:00	5673.577	5	15463340	118805228	3328
2026-08-04T01:39:06-04:00	5703.669	5	15464244	118797804	3328
2026-08-04T01:39:36-04:00	5733.766	5	15465132	118799460	3328
2026-08-04T01:40:06-04:00	5763.865	5	15466028	118795688	3328
2026-08-04T01:40:36-04:00	5793.956	5	15466956	118794564	3328
2026-08-04T01:41:06-04:00	5824.057	5	15467872	118805564	3328
2026-08-04T01:41:37-04:00	5854.153	5	15468772	118798764	3328
2026-08-04T01:42:07-04:00	5884.250	5	15469660	118810924	3328
2026-08-04T01:42:37-04:00	5914.348	5	15470620	118809812	3328
2026-08-04T01:43:07-04:00	5944.444	5	15471528	118801556	3328
2026-08-04T01:43:37-04:00	5974.541	5	15472428	118799720	3328
2026-08-04T01:44:07-04:00	6004.636	5	15473292	118789176	3328
2026-08-04T01:44:37-04:00	6034.734	5	15474236	118783644	3328
2026-08-04T01:45:07-04:00	6064.832	5	15475168	118777116	3328
2026-08-04T01:45:37-04:00	6094.931	5	15476084	118784804	3328
2026-08-04T01:46:02-04:00	6120.011	5	15476844	118770240	3328
2026-08-04T01:46:33-04:00	6150.110	5	15477732	118781880	3328
2026-08-04T01:47:03-04:00	6180.208	5	15478668	118772520	3328
2026-08-04T01:47:33-04:00	6210.308	5	15479548	118770520	3328
2026-08-04T01:48:03-04:00	6240.406	5	15480460	118758056	3328
2026-08-04T01:48:33-04:00	6270.504	5	15481392	118742420	3328
2026-08-04T01:49:03-04:00	6300.597	5	15482308	118754512	3328
2026-08-04T01:49:33-04:00	6330.694	5	15483224	118882800	3328
2026-08-04T01:50:03-04:00	6360.790	5	15484124	119271196	3328
2026-08-04T01:50:33-04:00	6390.885	5	15485032	119267324	3328
2026-08-04T01:51:03-04:00	6420.977	5	15500420	119244620	3328
2026-08-04T01:51:33-04:00	6451.072	5	15501320	119260932	3328
2026-08-04T01:52:04-04:00	6481.164	5	15502276	119257312	3328
2026-08-04T01:52:34-04:00	6511.265	5	15508316	119258724	3328
2026-08-04T01:53:04-04:00	6541.360	5	15509228	119253632	3328
2026-08-04T01:53:34-04:00	6571.470	5	15510148	119251816	3328
2026-08-04T01:54:04-04:00	6601.571	5	15511084	119246852	3328
2026-08-04T01:54:34-04:00	6631.673	5	15511996	119246308	3328
2026-08-04T01:55:04-04:00	6661.765	5	15512892	119251964	3328
2026-08-04T01:55:34-04:00	6691.863	5	15513788	119240972	3328
2026-08-04T01:56:04-04:00	6721.955	5	15514708	119245340	3328
2026-08-04T01:56:34-04:00	6752.051	5	15515636	119233608	3328
2026-08-04T01:57:05-04:00	6782.137	5	15516548	119229428	3328
2026-08-04T01:57:35-04:00	6812.231	5	15517440	119231224	3328
2026-08-04T01:58:05-04:00	6842.326	5	15518360	119228368	3328
2026-08-04T01:58:35-04:00	6872.422	5	15519288	119234412	3328
2026-08-04T01:59:05-04:00	6902.518	5	15520184	119235972	3328
2026-08-04T01:59:35-04:00	6932.614	5	15521072	119233104	3328
2026-08-04T02:00:05-04:00	6962.708	5	15522000	119205176	3328
2026-08-04T02:00:35-04:00	6992.804	5	15522920	119255080	3328
2026-08-04T02:01:05-04:00	7022.899	5	15523836	119241056	3328
2026-08-04T02:01:35-04:00	7052.993	5	15524748	119244132	3328
2026-08-04T02:02:05-04:00	7083.081	5	15525660	119246676	3328
2026-08-04T02:02:36-04:00	7113.176	5	15526560	119237512	3328
2026-08-04T02:03:06-04:00	7143.270	5	15527460	119230704	3328
2026-08-04T02:03:36-04:00	7173.365	5	15528400	119239032	3328
2026-08-04T02:04:06-04:00	7203.462	5	15529292	119236320	3328
2026-08-04T02:04:36-04:00	7233.570	5	15530220	119237368	3328
2026-08-04T02:05:06-04:00	7263.678	5	15531116	119236316	3328
2026-08-04T02:05:36-04:00	7293.780	5	15536960	119233672	3328
